track_name,album,year,valence,energy,danceability
A Perfectly Good Heart,Taylor Swift (Deluxe Edition),2006,0.268,0.751,0.483
A Place in this World,Taylor Swift (Deluxe Edition),2006,0.428,0.777,0.576
Cold As You,Taylor Swift (Deluxe Edition),2006,0.261,0.482,0.418
I'm Only Me When I'm With You,Taylor Swift (Deluxe Edition),2006,0.518,0.934,0.563
Invisible,Taylor Swift (Deluxe Edition),2006,0.233,0.394,0.612
Mary's Song (Oh My My My),Taylor Swift (Deluxe Edition),2006,0.374,0.627,0.403
Our Song,Taylor Swift (Deluxe Edition),2006,0.539,0.672,0.668
Picture To Burn,Taylor Swift (Deluxe Edition),2006,0.821,0.877,0.658
Should've Said No,Taylor Swift (Deluxe Edition),2006,0.472,0.777,0.476
Stay Beautiful,Taylor Swift (Deluxe Edition),2006,0.504,0.629,0.594
Teardrops On My Guitar - Radio Single Remix,Taylor Swift (Deluxe Edition),2006,0.289,0.417,0.621
Teardrops on My Guitar - Pop Version,Taylor Swift (Deluxe Edition),2006,0.483,0.753,0.459
The Outside,Taylor Swift (Deluxe Edition),2006,0.591,0.805,0.589
Tied Together with a Smile,Taylor Swift (Deluxe Edition),2006,0.192,0.578,0.479
Tim McGraw,Taylor Swift (Deluxe Edition),2006,0.425,0.491,0.58
Breathe,Fearless (International Version),2008,0.163,0.472,0.488
Change,Fearless (International Version),2008,0.214,0.747,0.545
Fearless,Fearless (International Version),2008,0.472,0.705,0.593
Fifteen,Fearless (International Version),2008,0.207,0.648,0.555
Forever & Always,Fearless (International Version),2008,0.55,0.816,0.604
Hey Stephen,Fearless (International Version),2008,0.826,0.543,0.843
Love Story,Fearless (International Version),2008,0.34,0.639,0.62
Our Song - International Mix,Fearless (International Version),2008,0.664,0.696,0.516
Should've Said No - International Mix,Fearless (International Version),2008,0.454,0.761,0.398
Teardrops On My Guitar - International Mix,Fearless (International Version),2008,0.152,0.557,0.514
Tell Me Why,Fearless (International Version),2008,0.476,0.848,0.606
The Best Day,Fearless (International Version),2008,0.368,0.44,0.671
The Way I Loved You,Fearless (International Version),2008,0.412,0.723,0.434
White Horse,Fearless (International Version),2008,0.212,0.342,0.587
You Belong With Me,Fearless (International Version),2008,0.469,0.775,0.688
You're Not Sorry,Fearless (International Version),2008,0.309,0.458,0.471
Breathe,Fearless (Platinum Edition),2008,0.17,0.486,0.498
Change,Fearless (Platinum Edition),2008,0.224,0.756,0.548
Come In With The Rain,Fearless (Platinum Edition),2008,0.23,0.461,0.527
Fearless,Fearless (Platinum Edition),2008,0.467,0.714,0.598
Fifteen,Fearless (Platinum Edition),2008,0.214,0.636,0.559
Forever & Always,Fearless (Platinum Edition),2008,0.514,0.829,0.605
Forever & Always - Piano Version,Fearless (Platinum Edition),2008,0.294,0.16,0.592
Hey Stephen,Fearless (Platinum Edition),2008,0.825,0.553,0.843
Jump Then Fall,Fearless (Platinum Edition),2008,0.82,0.687,0.618
Love Story,Fearless (Platinum Edition),2008,0.307,0.736,0.618
SuperStar,Fearless (Platinum Edition),2008,0.228,0.531,0.61
Tell Me Why,Fearless (Platinum Edition),2008,0.513,0.852,0.601
The Best Day,Fearless (Platinum Edition),2008,0.364,0.447,0.664
The Other Side Of The Door,Fearless (Platinum Edition),2008,0.469,0.816,0.476
The Way I Loved You,Fearless (Platinum Edition),2008,0.379,0.712,0.436
Untouchable,Fearless (Platinum Edition),2008,0.288,0.454,0.419
White Horse,Fearless (Platinum Edition),2008,0.195,0.346,0.585
You Belong With Me,Fearless (Platinum Edition),2008,0.445,0.771,0.687
You're Not Sorry,Fearless (Platinum Edition),2008,0.281,0.459,0.459
Beautiful Eyes - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.457,0.704,0.627
Change - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.273,0.712,0.243
Fearless - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.467,0.266,0.623
Love Story - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.512,0.444,0.741
Picture To Burn - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.684,0.872,0.647
Should've Said No - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.438,0.808,0.429
Teardrops On My Guitar - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.615,0.801,0.344
Untouchable - Live From Clear Channel Stripped 2008,Live From Clear Channel Stripped 2008,2008,0.331,0.184,0.731
Back To December,Speak Now,2010,0.296,0.606,0.517
Better Than Revenge,Speak Now,2010,0.652,0.917,0.519
Dear John,Speak Now,2010,0.126,0.468,0.583
Enchanted,Speak Now,2010,0.228,0.618,0.535
Haunted,Speak Now,2010,0.361,0.944,0.434
Innocent,Speak Now,2010,0.186,0.604,0.553
Last Kiss,Speak Now,2010,0.208,0.329,0.359
Long Live,Speak Now,2010,0.146,0.682,0.412
Mean,Speak Now,2010,0.808,0.747,0.57
Mine - POP Mix,Speak Now,2010,0.692,0.768,0.696
Never Grow Up,Speak Now,2010,0.547,0.308,0.715
Sparks Fly,Speak Now,2010,0.376,0.785,0.608
Speak Now,Speak Now,2010,0.742,0.601,0.708
The Story Of Us,Speak Now,2010,0.84,0.855,0.575
Back To December,Speak Now (Deluxe Package),2010,0.296,0.606,0.517
Back To December,Speak Now (Deluxe Package),2010,0.281,0.676,0.525
Back To December - Acoustic,Speak Now (Deluxe Package),2010,0.333,0.451,0.541
Better Than Revenge,Speak Now (Deluxe Package),2010,0.652,0.917,0.519
Dear John,Speak Now (Deluxe Package),2010,0.126,0.468,0.583
Enchanted,Speak Now (Deluxe Package),2010,0.228,0.618,0.535
Haunted,Speak Now (Deluxe Package),2010,0.361,0.944,0.434
Haunted - Acoustic Version,Speak Now (Deluxe Package),2010,0.314,0.462,0.574
If This Was A Movie,Speak Now (Deluxe Package),2010,0.257,0.724,0.515
Innocent,Speak Now (Deluxe Package),2010,0.186,0.604,0.553
Last Kiss,Speak Now (Deluxe Package),2010,0.208,0.329,0.359
Long Live,Speak Now (Deluxe Package),2010,0.146,0.682,0.412
Mean,Speak Now (Deluxe Package),2010,0.808,0.747,0.57
Mine,Speak Now (Deluxe Package),2010,0.672,0.78,0.621
Mine - POP Mix,Speak Now (Deluxe Package),2010,0.692,0.768,0.696
Never Grow Up,Speak Now (Deluxe Package),2010,0.547,0.308,0.715
Ours,Speak Now (Deluxe Package),2010,0.192,0.556,0.61
Sparks Fly,Speak Now (Deluxe Package),2010,0.376,0.785,0.608
Speak Now,Speak Now (Deluxe Package),2010,0.742,0.601,0.708
Superman,Speak Now (Deluxe Package),2010,0.547,0.817,0.582
The Story Of Us,Speak Now (Deluxe Package),2010,0.84,0.855,0.575
The Story Of Us,Speak Now (Deluxe Package),2010,0.649,0.809,0.546
Back To December/Apologize/You're Not Sorry - Live/2011/Medley,Speak Now World Tour Live,2010,0.171,0.516,0.374
Bette Davis Eyes - Live/2011,Speak Now World Tour Live,2010,0.363,0.488,0.327
Better Than Revenge - Live/2011,Speak Now World Tour Live,2010,0.386,0.887,0.445
Dear John - Live/2011,Speak Now World Tour Live,2010,0.138,0.386,0.521
Drops Of Jupiter - Live/2011,Speak Now World Tour Live,2010,0.27,0.504,0.374
Enchanted - Live/2011,Speak Now World Tour Live,2010,0.214,0.663,0.34
Haunted - Live/2011,Speak Now World Tour Live,2010,0.177,0.818,0.338
I Want You Back - Live/2011,Speak Now World Tour Live,2010,0.249,0.512,0.536
